date,startup,industry,subvertical,city,investors,investment_type,amount
12-09-2017,3hcare,consumer internet,Healthcare services portal,New Delhi,Undisclosed Investor,Seed Funding,100000
12-09-2017,tonbo imaging,technology,Imaging Technology for Armed Forces,Bengaluru,WRV Capital,Private Equity,17000000
12-09-2017,get my parking,consumer internet,Smart Parking Enabler,New Delhi,IAN Fund,Private Equity,3000000
13-09-2017,glowroad,consumer internet,women focussed customer-to-customer reseller network,Bengaluru,Accel Partners,Private Equity,2000000
13-09-2017,oyo rooms,consumer internet,udget hotel marketplace,Gurugram,China Lodging Group,Private Equity,10000000
13-09-2017,unaacademy,consumer internet,Online learning platform,Mumbai,Sequoia Capital India,Private Equity,11500000
13-09-2017,heterogenous,technology,Telecom & IoT platform,Chennai,Chennai Angels,Seed Funding,780000
14-09-2017,smaaash,technology,Virtual Reality gaming and entertainment platform,Mumbai,ECL Finance,Private Equity,44000000
14-09-2017,wheelstreet,consumer portal,Bike Rental Platform,Bengaluru,Y Combinator,Seed Funding,120000
18-09-2017,the moms co,ecommerce,Pregnancy & Baby Care product etailer,Gurugram,DSG Consumer Partners,Private Equity,1000000
19-09-2017,high radius,technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000
21-09-2017,savebc,finance,financial services firm,Gaya,Incofin Investment Management.,Private Equity,6000000
21-09-2017,homergize,ecommerce,Home Furnishing & Building material marketplace,Bengaluru,LG Chandrasekhar,Private Equity,1000000
22-09-2017,yatra,ecommerce,Online Travel Agency,Gurugram,InnoVen Capital India,Debt Funding,15400000
25-09-2017,synup,technology,SME Marketing Management Solution,Bengaluru,Vertex Ventures,Private Equity,6000000
25-09-2017,rapido,consumer internet,Bike Aggregator Mobile App,Bengaluru,Battery Road Digital Holdings LLC,Seed Funding,422000
25-09-2017,sportobuddy,consumer internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding,150000
27-09-2017,transerv,technology,Geospatial Technology-based SaaS solutions,Mumbai,IL&FS Investment Managers,Private Equity,1600000
27-09-2017,pitstop,consumer internet,Car repair and Servicing Platform,Bengaluru,Blume Ventures,Private Equity,1000000
27-09-2017,myupchar,consumer internet,Local Language Health Information portal,New Delhi,LetsVenture,Seed Funding,300000
28-09-2017,aadyah,technology,Defense Tech & Aerospace startup,Bengaluru,Keiretsu Forum,Private Equity,1000000
01-08-2017,touchkin,technology,Predictive Care Platform,Bengaluru,Kae Capital,Private Equity,1300000
02-08-2017,zepo,consumer internet,DIY Ecommerce platform,Mumbai,Kunal Shah,Seed Funding,500000
02-08-2017,click2clinic,consumer internet,healthcare service aggregator,Hyderabad,Narottam Thudi,Seed Funding,850000
03-08-2017,speedbox,logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000
08-08-2017,new castle technologies,technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding,243000
08-08-2017,my forex eye,consumer internet,foreign exchange services,New Delhi,Rahul Dev Kumar,Seed Funding,220000
09-08-2017,truxapp,logistics,Mobile based Logistics Service,New Delhi,Venugopal Dhoot,Seed Funding,3100000
09-08-2017,crofarm,technology,Agriculture Supply Chain solutions,Gurugram,Factor[e] Ventures,Seed Funding,783000
11-08-2017,flipkart,ecommerce,Online Marketplace,Bengaluru,Softbank,Private Equity,-2147483648
11-08-2017,ola cabs,consumer internet,App based cab aggregation Service,Gurugram,Tekne Capital Management,Private Equity,36000000
14-08-2017,digilend,technology,Personal Loans & EMI solutions platform,Mumbai,InCred Finance,Seed Funding,312000
15-08-2017,knab finance,consumer internet,Unsecured Small Business Loans,Bengaluru,InCred,Seed Funding,385000
20-08-2017,rootefy,ecommerce,Building material online store,New Delhi,Abhinav Gupta,Seed Funding,187000
21-08-2017,uniphore,technology,speech recognition startup,Chennai,IDG Ventures,Private Equity,6800000
21-08-2017,cerebroz,consumer internet,E-Tech platform,Vadodara,Undisclosed HNI's,Seed Funding,734000
23-08-2017,dhruva,technology,Cloud data protection and management solutions,Pune,Riverwood Capital,Private Equity,80000000
23-08-2017,bombay shaving company,ecommerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,2300000
23-08-2017,indiez,technology,Software & Mobile app development platform,Bengaluru,Haresh Chawla,Seed Funding,500000
24-08-2017,ezetap,technology,mPOS solutions provider,Bengaluru,JS Capital Management,Private Equity,16000000
25-08-2017,ink monk,consumer internet,Online printing marketplace,Chennai,VAMM Ventures,Seed Funding,750000
25-08-2017,medinfi,consumer internet,Online Doctor Discovery Platform,Bengaluru,PBS Srinivas,Seed Funding,125000
28-08-2017,mobikon,technology,Restaurant & Hotel CRM platform,Pune,Sistema Asia Fund,Private Equity,7000000
29-08-2017,cure fit,consumer internet,End to End health and wellness platform.,Bengaluru,Accel Partners,Private Equity,25000000
29-08-2017,doxper,technology,Healthtech IoT platform,Mumbai,idal Health,Seed Funding,750000
30-08-2017,treebo,consumer internet,Budget Hotel Aggregator platform,Bengaluru,Ward Ferry Management and Karst Peak Capital,Private Equity,34000000
30-08-2017,medgenome,technology,Genomics Research and Diagnostics Solutions,Bengaluru,Sequoia India,Private Equity,30000000
01-07-2017,billion loans,consumer internet,Peer to Peer Lending platform,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000
03-07-2017,ecolibriumenergy,technology,Energy management solutions provider,Ahmedabad,Infuse Ventures,Private Equity,2600000
04-07-2017,droom,ecommerce,Online marketplace for automobiles,Gurugram,Asset Management (Asia) Ltd,Private Equity,20000000
05-07-2017,jumbotail,ecommerce,online marketplace for food and grocery,Bengaluru,Kalaari Capital,Private Equity,8500000
05-07-2017,moglix,ecommerce,B2B marketplace for Industrial products,Noida,International Finance Corporation,Private Equity,12000000
05-07-2017,timesaverz,consumer internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000
07-07-2017,clip app,consumer internet,Digital Media Video platform,Bengaluru,India Quotient,Seed Funding,1000000
10-07-2017,autorox.co,technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000
11-07-2017,fabogo,consumer internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000
11-07-2017,flickstree,consumer internet,Video Content Discovery Platform,Mumbai,Venture Catalysts,Seed Funding,464000
12-07-2017,innoviti,technology,Digital payments solutions,Bengaluru,SBI-FMO Fund,Private Equity,18500000
14-07-2017,qwikspec,technology,Construction site operations and analytics platform,Bengaluru,Brigade Innovations LLP,Seed Funding,540000
14-07-2017,chumbak,ecommerce,Designer consumer products Marketplace,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,1700000
17-07-2017,reff,technology,Sales Solutions for Fashion Brands,Bengaluru,Sequoia Capital,Seed Funding,2000000
17-07-2017,vayana,technology,Enterprise Banking Solutions,Pune,IDG Ventures India Advisors,Private Equity,4000000
19-07-2017,rentmojo,consumer internet,Consumer Leasing Platform,Bengaluru,ain Capital Ventures,Private Equity,10000000
19-07-2017,playablo,technology,Gamified Learning App,Bengaluru,ABI-Showatech (India) Ltd,Seed Funding,600000
20-07-2017,trupay,technology,Online payments platform,Gurugram,Kae Capital,Seed Funding,700000
21-07-2017,brick2wall,ecommerce,Online Marketplace for Construction Material,Gurugram,Subramani Somasundaram,Seed Funding,200000
25-07-2017,noticeboard,consumer internet,Mobile-first Enterprise communication platform,Bengaluru,Stellaris Venture Partners,Private Equity,1200000
25-07-2017,byju's,consumer internet,Mobile Learning App,Bengaluru,Tencent Holdings,Private Equity,35000000
26-07-2017,fab hotels,consumer internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000
26-07-2017,thinkerbell,consumer internet,Assisted Learning Startup,Bengaluru,Indian Angel Network,Seed Funding,200000
27-07-2017,1mg,ecommerce,Online Pharmacy,Gurugram,HBM Healthcare Investments,Private Equity,15000000
28-07-2017,bigstylist,consumer internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1250000
02-06-2017,rentongo,ecommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bengaluru,TVS Motor Company,Seed Funding,234000
05-06-2017,goomo,consumer internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000
06-06-2017,spinny,ecommerce,Online Used Car marketplace,Gurugram,Blume Ventures,Private Equity,1000000
06-06-2017,bhive workspace,consumer internet,co-working spaces,Bengaluru,Blume Ventures,Private Equity,1200000
06-06-2017,wayforward,consumer internet,Mobile app for Mental Health,New Delhi,Harsh Mahajan,Seed Funding,1000000
07-06-2017,ziploan,consumer internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,650000
07-06-2017,growfitter,consumer internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600000
08-06-2017,stratfit,consumer internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000
08-06-2017,multiplier solutions,technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000
08-06-2017,abi health,technology,Unified Digital Health Platform,Bengaluru,Norwest Venture Partners,Private Equity,1500000
08-06-2017,stockal,consumer internet,App-based Investment advisory Services,Bengaluru,Mohan Alexander,Seed Funding,350000
09-06-2017,guiddoo,consumer internet,Travel & adventure planning platform,Mumbai,Pawan Borle,Seed Funding,300000
09-06-2017,esahai,consumer internet,ambulance aggregator and medical taxi provider,Hyderabad,Dr Ramesh Ayyala,Seed Funding,250000
12-06-2017,lendingkart,consumer internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000
12-06-2017,boxx.ai,technology,Artificial Intelligence,Bengaluru,Unicorn India Ventures,Private Equity,500000
12-06-2017,peesafe,healthcare,Hygiene care product manufacturer,New Delhi,Venture Catalysts,Private Equity,1000000
12-06-2017,vista rooms,consumer internet,Online rooms aggregation platform,Mumbai,Artha India Ventures,Seed Funding,776000
12-06-2017,coverfox,consumer internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000
13-06-2017,goodera,technology,CSR and sustainability management platform,Bengaluru,Nexus Venture Partners,Private Equity,5500000
14-06-2017,ola,consumer internet,Cab Aggregation App,Bengaluru,Tekne Capital Management LLC,Private Equity,50000000
14-06-2017,mrneeds,consumer internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000
15-06-2017,moneytap,consumer internet,Money Lending platform,Bengaluru,Sequoia India,Private Equity,12300000
16-06-2017,goodbox,ecommerce,Mobile SAAS ECommerce platform for SMEs,Bengaluru,Nexus Venture Partners,Private Equity,1000000
16-06-2017,fash,consumer internet,Personal Finance platform,Mumbai,Mohammed Khan,Seed Funding,100000
16-06-2017,portdesk,technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000
19-06-2017,unbxd,technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,12500000
19-06-2017,darwinbox,technology,Enterprise human resources management platform,Hyderabad,Lightspeed India Partners,Private Equity,4000000
20-06-2017,forevershop,consumer internet,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed Funding,300000
20-06-2017,insider,consumer internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000
21-06-2017,fynd,ecommerce,Fashion etailer,Mumbai,IIFL Seed Ventures,Private Equity,2400000
21-06-2017,grow fit,consumer internet,Health-Tech platform,Bengaluru,Manipal Education and Medical Group (MEMG),Private Equity,4500000
21-06-2017,fabulyst,technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000
21-06-2017,mswipe,technology,Point-of-Sale services,Mumbai,UC-RNT Fund,Private Equity,31000000
22-06-2017,julia computing,technology,Open Source Language for Data Science and Machine Learning,Bengaluru,General Catalyst,Private Equity,4600000
22-06-2017,kissht,consumer internet,Consumer Lending platform,Mumbai,Endiya Partners,Private Equity,2000000
22-06-2017,explore life traveling,consumer internet,Local homes booking platform,Bengaluru,Mekin Maheshwari,Seed Funding,500000
23-06-2017,loan tap,consumer internet,Lending platform for salaried professionals,Mumbai,Kae Capital,Private Equity,4000000
23-06-2017,voxweb,consumer internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000
26-06-2017,hug innovations,technology,Gesture based Smartwatch manufacturer,Hyderabad,Mohit Srivastav,Private Equity,5000000
26-06-2017,flipkart,ecommerce,Online marketplace,Bengaluru,Naspers,Private Equity,71000000
26-06-2017,v resorts,consumer internet,Holiday & Vacation resort aggregator,Noida,Seedfund,Private Equity,4000000
27-06-2017,stashfin,consumer internet,Personal Finance App,New Delhi,Snow Leopard Ventures,Private Equity,5000000
27-06-2017,spares hub,ecommerce,Automobile parts marketplace,Pune,The Chennai Angels,Seed Funding,311000
28-06-2017,rubique,consumer internet,Online Marketplace for financial products,Mumbai,Kalaari Capital,Private Equity,3000000
28-06-2017,niki.ai,consumer internet,AI Based Personal Assistant,Bengaluru,SAP.iO,Private Equity,2000000
29-06-2017,fitpass,consumer internet,Online Fitness Marketplace,New Delhi,Abhinav Bindra,Private Equity,1000000
30-06-2017,tagos design,technology,in-video discovery platform,Bengaluru,Undisclosed Investors,Private Equity,5000000
30-06-2017,urbanclap,consumer internet,Mobile Services Marketplace,Gurugram,Vy Capital,Private Equity,21000000
01-05-2017,ace2three,consumer internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000
01-05-2017,power2sme,ecommerce,Buying portal for SMEs,Gurugram,International Finance Corporation,Private Equity,10000000
02-05-2017,innovapptive,technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,1500000
02-05-2017,4tigo,logistics,Truck Network company,Bengaluru,Accel Partners,Private Equity,10000000
02-05-2017,zippserv,consumer internet,Real estate risk assessment platform,Bengaluru,undisclosed investors,Seed Funding,390000
03-05-2017,ola,consumer internet,Cab Aggregation App,Bengaluru,Falcon Edge Capital,Private Equity,104500000
03-05-2017,sumeru,technology,Software & Mobile development services,Bengaluru,undisclosed investors,Seed Funding,1000000
05-05-2017,balance app,consumer internet,Money Savings & Management App,Bengaluru,Rainmatter,Seed Funding,233000
08-05-2017,yepme,ecommerce,Private Label Fashion etailer,Gurugram,Rainbow Digital Services Pvt. Ltd,Private Equity,700000
08-05-2017,mygreens,food & beverage,Cold-press Juices manufacturer,New Delhi,Ajay Relan,Seed Funding,1000000
08-05-2017,ace turtle,technology,Omni-Channel Platform,Bengaluru,Vertex Ventures,Private Equity,5000000
08-05-2017,cure fit,technology,Health-Tech Platform,Bengaluru,Trifecta Capital Advisors LLP,Private Equity,3200000
09-05-2017,curie labs,technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000
10-05-2017,vidooly,consumer internet,Video Intelligence platform,Noida,Times Internet,Private Equity,1400000
10-05-2017,shopclues,ecommerce,Online marketplace,Gurugram,InnoVen Capital,Private Equity,7700000
10-05-2017,fourth ambit,consumer internet,Community Building platform,Bengaluru,1Crowd,Seed Funding,600000
11-05-2017,early salary,consumer internet,Online lending platform,Pune,DG Ventures India,Private Equity,4000000
12-05-2017,legal raasta,consumer internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000
12-05-2017,remit guru,consumer internet,Digital money transfer platform,Mumbai,Infibeam,Private Equity,466000
12-05-2017,aequm,ecommerce,Cloud ECommerce platform,Bengaluru,undisclosed investors,Seed Funding,1000000
15-05-2017,zapty,technology,Project Management tool,Bengaluru,IdeaSpring Capital,Seed Funding,500000
16-05-2017,telr,technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000
16-05-2017,fynd,ecommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000
17-05-2017,genie,consumer internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,250000
17-05-2017,paysense,consumer internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000
18-05-2017,the good life,ecommerce,Online Luxury Tea etailer,Mumbai,Ayesha Takia Azmi,Seed Funding,1000000
18-05-2017,paytm,ecommerce,Mobile Wallet & ECommerce platform,Bengaluru,SoftBank Group,Private Equity,1400000000
19-05-2017,ezcred,consumer internet,Consumer Lending Platform,Bengaluru,Dheeraj Pandey,Seed Funding,1000000
22-05-2017,delhivery,logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,30000000
22-05-2017,zipgrid,consumer internet,"Cashless, paperless solutions for Housing societies",Mumbai,JLL,Seed Funding,500000
23-05-2017,magicpin,consumer internet,Hyperlocal discovery platform,Gurugram,Lightspeed Venture Partners,Private Equity,6600000
23-05-2017,box8,consumer internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000
24-05-2017,genextstudents,consumer internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,580000
25-05-2017,aye finance,finance,Non-Banking Financial Company,Gurugram,Blue Orchard,Private Equity,8000000
29-05-2017,collateral medical,ecommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000
30-05-2017,supr daily,consumer internet,Subscription based delivery platform,Mumbai,Soma Capital,Private Equity,1500000
30-05-2017,swiggy,consumer internet,Online food delivery platform,Bengaluru,Nasper,Private Equity,80000000
31-05-2017,sastasundar,ecommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000
31-05-2017,magicpin,consumer internet,Hyperlocal Discovery & Rewards platform,Gurugram,Lightspeed India Partners,Private Equity,7000000
01-04-2017,cashe,consumer internet,Online & Mobile based Lending platform,Mumbai,Mathew Cyriac,Private Equity,3800000
03-04-2017,eruditus,education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,8200000
03-04-2017,healthcare at home,healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000000
04-04-2017,waycool,food & beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,2700000
04-04-2017,perfios,technology,Fin-Tech Solutions,Bengaluru,Bessemer Venture Partners,Private Equity,6100000
04-04-2017,whatfix,technology,Interactive Tech-Support Guides,Bengaluru,Stellaris Venture Partners,Private Equity,3690000
04-04-2017,elastirun,technology,App based Logistics & Distribution platform,Pune,Kalaari Capital,Private Equity,7000000
04-04-2017,trukky,consumer internet,Online Truck Aggregator & Booking platform,Ahmedabad,Keyur Joshi,Seed Funding,500000
04-04-2017,konsult app,consumer internet,App based Doctor Consulting platform,New Delhi,Koen Bouwers,Seed Funding,500000
05-04-2017,fingerlix,consumer internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,3000000
06-04-2017,medwell ventures,healthcare,Home-Based Healthcare provider,Bengaluru,Mahindra Partners,Private Equity,21000000
06-04-2017,mech mocha,consumer internet,Mobile gaming startup,Bengaluru,Accel Partners,Private Equity,5000000
07-04-2017,pharmeasy,ecommerce,Online Pharmacy,Mumbai,Bessemer Venture Partners,Private Equity,18000000
08-04-2017,fastfox,consumer internet,Online rental discovery platform,Gurugram,Lightspeed India Partners,Private Equity,4600000
10-04-2017,omnify,technology,SaaS platform for SMEs,Bengaluru,Rajan Anandan,Seed Funding,150000
10-04-2017,capital float,consumer internet,Online Lending Platform for SME,Bengaluru,Mahindra and Mahindra Financial Services,Private Equity,2300000
11-04-2017,ninjacart,ecommerce,B2B agri-marketing platform,Bengaluru,Accel Partners,Private Equity,5500000
11-04-2017,mergerware,technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed Funding,100000
12-04-2017,clovia,ecommerce,Online lingerie & Sleepwear etailer,New Delhi,Ivycap Ventures Advisors,Private Equity,4000000
12-04-2017,emiza,logistics,Third Party Logistics provider,Mumbai,Mayfield,Private Equity,4500000
12-04-2017,hackerearth,consumer internet,Online Skill Assessment Platform,Bengaluru,DHI Group Inc,Private Equity,4500000
12-04-2017,squadrun,technology,Software-As-a-Service Platform,Noida,Blume Ventures,Private Equity,2100000
13-04-2017,weareholidays,consumer internet,Travel Packages & Planner marketplace,Gurugram,Urrshila Kerkar,Private Equity,7700000
14-04-2017,ola cabs,consumer internet,Cab Aggregator App,Bengaluru,SIMI Pacific Pte,Private Equity,260000000
15-04-2017,myly,consumer internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000
17-04-2017,credihealth,consumer internet,Online Medical Assistance platform,Gurugram,Tolaram Inc,Private Equity,1500000
17-04-2017,snackible,food & beverages,Healthy Snacks manufacturer,Mumbai,Nibhrant Shah,Seed Funding,175000
17-04-2017,be u salons,consumer internet,Online Salon discovery & Booking Services,New Delhi,Gaurav Kachru,Seed Funding,620000
17-04-2017,lendingkart,consumer internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,4650000
18-04-2017,innefu security consulting,technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000
18-04-2017,whodat,technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity,600000
18-04-2017,absentia vr,technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity,1250000
19-04-2017,iotrek,technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,155000
20-04-2017,holachef,consumer internet,Online Food Delivery,Mumbai,SIDBI Venture Capital Ltd,Private Equity,3000000
21-04-2017,video ken,consumer internet,Video Based Collaborative Learning,Bengaluru,Ravi Garikipati,Seed Funding,1000000
24-04-2017,faaso's,food & beverage,QSR chain and online food delivery,Pune,Ligthbox Ventures II,Private Equity,6300000
24-04-2017,oyo rooms,consumer internet,Branded Budget Hotels Aggregator,Gurugram,SoftBank Vision Fund,Private Equity,250000000
24-04-2017,toppr,consumer internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,3200000
25-04-2017,the office pass,consumer internet,CoWorking Spaces booking platform,Gurugram,Arun Tadanki,Seed Funding,245000
25-04-2017,urbanclap,consumer internet,Mobile Services Marketplace,Gurugram,Trifecta Capital,Private Equity,3100000
26-04-2017,awfis,consumer internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,20000000
26-04-2017,flytxt,technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000
26-04-2017,howdy ventures,consumer internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,1500000
26-04-2017,stalkbuylove,ecommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,1000000
27-04-2017,scootsy,consumer internet,On-Demand Food Delivery,Mumbai,Agnus Capital,Private Equity,3600000
27-04-2017,inurture,consumer internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd,Private Equity,1500000
28-04-2017,sepalika,consumer internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,750000
01-03-2017,ola,consumer internet,App based cab aggregator,Bengaluru,SoftBank Group Corp,Private Equity,330000000
01-03-2017,belong,consumer internet,Online Jon Portal,Bengaluru,Sequoia Capital India,Private Equity,10000000
02-03-2017,celes care,consumer internet,Women Healthcare & Information portal,Hyderabad,Ventureast,Private Equity,1500000
02-03-2017,karomi,technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,500000
02-03-2017,red carpet,consumer internet,Micro Lending platform,Gurugram,Lightspeed Venture Partners,Private Equity,2500000
02-03-2017,creditmantri,consumer internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,7600000
03-03-2017,tydy,technology,Employee Onboarding and Engagement platform,Bengaluru,Bhupen Shah,Seed Funding,275000
03-03-2017,oho shop,technology,eCommerce Mobile App Builder,Ahmedabad,Bennett,Private Equity,6700000
03-03-2017,paytm marketplace,ecommerce,ECommerce Marketplace,Bengaluru,Alibaba,Private Equity,200000000
04-03-2017,igenetics,healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,19500000
06-03-2017,juno clinic,consumer internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,1200000
06-03-2017,summerlabel,consumer internet,Fashion and Lifestyle discovery platform,Gurugram,Aneesh Seth,Seed Funding,150000
06-03-2017,pickme,consumer internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000
07-03-2017,agrostar,technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,10000000
07-03-2017,zapr,technology,"DSP, TV Analytics & Cross-Platform advertising",Bengaluru,Star India Pvt Ltd,Private Equity,10000000
07-03-2017,data resolve,technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000
07-03-2017,book servicing,consumer internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000
07-03-2017,blowhorn,consumer internet,Intra-City Logistics provider,Bengaluru,IDG Ventures India,Private Equity,3650000
08-03-2017,rivigo,logistics,Technology Enabled Logistics Company,Gurugram,Private Sector Banks (Debt Funding),Private Equity,15000000
08-03-2017,pipecandy,technology,Intelligent Sales Prospecting Platform,Chennai,IDG ventures,Seed Funding,1100000
08-03-2017,supr daily,consumer internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,120000
09-03-2017,appbrowzer,consumer internet,Instant Mobile Apps Store,Bengaluru,Deepak Gurnani,Seed Funding,500000
09-03-2017,magicbricks,consumer internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,4500000
10-03-2017,peebuddy,healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,443000
10-03-2017,lavelle networks,technology,SDN Solutions,Bengaluru,Ideaspring Capital,Seed Funding,600000
15-03-2017,latestone,ecommerce,Tech Accessories e-tailer,Hyderabad,Florintree,Private Equity,3350000
15-03-2017,frapperz,consumer internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,100000
16-03-2017,mpaani,consumer internet,Loyalty rewards app,Mumbai,IDG Ventures,Private Equity,1350000
16-03-2017,popxo,consumer internet,Digital Media publication for women,New Delhi,GREE Ventures,Private Equity,3100000
16-03-2017,fitso,consumer internet,Fitness Mobile App,Gurugram,Sujeet Kumar,Seed Funding,200000
21-03-2017,flipkart,ecommerce,ECommerce Marketplace,Bengaluru,Microsoft,Private Equity,1400000000
21-03-2017,airpay,technology,Online payment Gateway,Mumbai,Kalaari Capital,Private Equity,3670000
21-03-2017,myglamm,consumer internet,On-Demand Beauty Services,Mumbai,L'Occitane,Private Equity,5300000
22-03-2017,haqdarshak,consumer internet,Tech-Enabled Social Enterprise,Bengaluru,Ravi Saxena,Seed Funding,191000
23-03-2017,ixigo,consumer internet,Online Travel Search Engine,Gurugram,Sequoia Capital,Private Equity,15000000
23-03-2017,markets and markets,technology,Marketing Research Company,Pune,FTV Capital,Private Equity,56000000
24-03-2017,bizom,technology,supply chain automation platform,Bengaluru,Ojas Ventures,Seed Funding,382000
24-03-2017,delhivery,technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,Carlyle Group,Private Equity,100000000
28-03-2017,fynd,ecommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,500000
28-03-2017,donething,consumer internet,On-demand Personal Assistant service,Gurugram,Brand Capital,Private Equity,300000
29-03-2017,ithaka,consumer internet,Vacation Trip Planning platform,Mumbai,Ankit Gupta,Seed Funding,325000
29-03-2017,perpule,ecommerce,Self-Checkout ECommerce App,Bengaluru,KStart Capital,Seed Funding,650000
29-03-2017,licious,ecommerce,Online Meat Ordering platform,Bengaluru,Mayfield India,Private Equity,10000000
29-03-2017,medinfi,consumer internet,Doctor & Hospital search Platform,Bengaluru,Vinod Martin,Seed Funding,50000
31-03-2017,jhakaas,consumer internet,Offline Business Aggregator App,Mumbai,Malini Patel,Seed Funding,155000
31-03-2017,oriano solar,technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,3000000
31-03-2017,bigbasket,ecommerce,Online Grocer,Bengaluru,Trifecta Capital,Private Equity,7000000
